Name,Amount,position,year,sex
MARGARET,341,1,1944,f
HELEN,209,2,1944,f
JUDITH,189,3,1944,f
PATRICIA,186,4,1944,f
PAMELA,160,5,1944,f
ELIZABETH,153,6,1944,f
JENNIFER,149,7,1944,f
BARBARA,147,8,1944,f
LORRAINE,143,9,1944,f
CHRISTINE,135,10,1944,f
BEVERLEY,114,11,1944,f
JANICE,107,12,1944,f
SANDRA,107,12,1944,f
LYNETTE,106,14,1944,f
JILLIAN,98,15,1944,f
JANET,97,16,1944,f
MARY,96,17,1944,f
HEATHER,94,18,1944,f
SHIRLEY,93,19,1944,f
RAELENE,81,20,1944,f
ROSEMARY,78,21,1944,f
PAULINE,77,22,1944,f
WENDY,73,23,1944,f
MARLENE,69,24,1944,f
DIANNE,68,25,1944,f
KAY,68,25,1944,f
MAXINE,65,27,1944,f
JOAN,62,28,1944,f
KATHLEEN,60,29,1944,f
KAYE,60,29,1944,f
COLLEEN,58,31,1944,f
SUSAN,53,32,1944,f
GLORIA,52,33,1944,f
MAUREEN,51,34,1944,f
MARILYN,49,35,1944,f
MARIE,47,36,1944,f
ELAINE,46,37,1944,f
JOSEPHINE,45,38,1944,f
LEONIE,44,39,1944,f
ANNE,43,40,1944,f
VALERIE,43,40,1944,f
ANN,42,42,1944,f
JEANETTE,42,42,1944,f
CAROLYN,41,44,1944,f
YVONNE,41,44,1944,f
DIANA,40,46,1944,f
RHONDA,36,47,1944,f
BEVERLY,35,48,1944,f
DOROTHY,34,49,1944,f
DIANE,33,50,1944,f
JANETTE,33,50,1944,f
JULIE,33,50,1944,f
FRANCES,31,53,1944,f
SUZANNE,31,53,1944,f
GLENYS,30,55,1944,f
LESLEY,29,56,1944,f
BETTY,28,57,1944,f
JUNE,28,57,1944,f
DENISE,27,59,1944,f
CAROL,26,60,1944,f
KAYLENE,26,60,1944,f
BRENDA,25,62,1944,f
RUTH,25,62,1944,f
IRENE,24,64,1944,f
MEREDITH,24,64,1944,f
ROSSLYN,24,64,1944,f
RAYLENE,23,67,1944,f
ROSALIE,23,67,1944,f
VERONICA,23,67,1944,f
CYNTHIA,22,70,1944,f
JOY,22,70,1944,f
JOYLEEN,21,72,1944,f
ANNETTE,20,73,1944,f
DAWN,18,74,1944,f
GERALDINE,18,74,1944,f
